SKU,Brand,Model,Reference_Number,Year,Condition,Description,Price,Starting_Bid,Currency,Classifications,Case_Size,Case_Material,Dial_Color,Movement,Bracelet_Material,Box_Papers,Image_1,Image_2,Image_3,Image_4,Image_5
ROL001,Rolex,Submariner,126610LN,2022,Excellent,Latest generation Submariner with ceramic bezel and updated movement. Complete set with box and papers,13500,12000,USD,"Sport;Diving;Men's",41mm,Stainless Steel,Black,Automatic,Stainless Steel,Both,ROL001_1.jpg,ROL001_2.jpg,ROL001_3.jpg,ROL001_4.jpg,
ROL002,Rolex,GMT-Master II,126710BLRO,2021,Very Good,Pepsi bezel on Jubilee bracelet. Full set with warranty card,18500,16500,USD,"Sport;Men's",40mm,Stainless Steel,Black,Automatic,Stainless Steel,Both,ROL002_1.jpg,ROL002_2.jpg,ROL002_3.jpg,,
ROL003,Rolex,Daytona,116500LN,2020,Excellent,White dial ceramic bezel Daytona. Most sought after reference,45000,42000,USD,"Sport;Men's",40mm,Stainless Steel,White,Automatic,Stainless Steel,Both,ROL003_1.jpg,ROL003_2.jpg,ROL003_3.jpg,ROL003_4.jpg,ROL003_5.jpg
PP001,Patek Philippe,Nautilus,5711/1A-010,2019,Very Good,Blue dial stainless steel. Discontinued reference,95000,88000,USD,"Sport;Dress;Men's",40mm,Stainless Steel,Blue,Automatic,Stainless Steel,Both,PP001_1.jpg,PP001_2.jpg,PP001_3.jpg,,
PP002,Patek Philippe,Aquanaut,5167A-001,2021,Excellent,Black dial with tropical rubber strap. Complete set,38000,35000,USD,"Sport;Men's",40mm,Stainless Steel,Black,Automatic,Rubber,Both,PP002_1.jpg,PP002_2.jpg,,,
AP001,Audemars Piguet,Royal Oak,15500ST.OO.1220ST.01,2020,Very Good,Blue dial with grande tapisserie pattern,42000,38000,USD,"Sport;Dress;Men's",41mm,Stainless Steel,Blue,Automatic,Stainless Steel,Both,AP001_1.jpg,AP001_2.jpg,AP001_3.jpg,AP001_4.jpg,
AP002,Audemars Piguet,Royal Oak Offshore,26470ST.OO.A027CA.01,2018,Good,Blue dial with rubber strap. Chronograph function,28000,25000,USD,"Sport;Men's",42mm,Stainless Steel,Blue,Automatic,Rubber,Papers Only,AP002_1.jpg,AP002_2.jpg,AP002_3.jpg,,
OM001,Omega,Speedmaster Professional,310.30.42.50.01.002,2021,Excellent,Latest generation Moonwatch with updated movement,6500,5800,USD,"Sport;Men's",42mm,Stainless Steel,Black,Manual,Stainless Steel,Both,OM001_1.jpg,OM001_2.jpg,OM001_3.jpg,,
OM002,Omega,Seamaster Diver 300M,210.30.42.20.04.001,2022,Excellent,White dial with wave pattern. James Bond edition,5200,4700,USD,"Sport;Diving;Men's",42mm,Stainless Steel,White,Automatic,Stainless Steel,Both,OM002_1.jpg,OM002_2.jpg,,,
CAR001,Cartier,Santos,WSSA0029,2020,Very Good,Large model with blue dial. Interchangeable straps,7800,7000,USD,"Dress;Men's",39.8mm,Stainless Steel,Blue,Automatic,Stainless Steel,Both,CAR001_1.jpg,CAR001_2.jpg,CAR001_3.jpg,,
CAR002,Cartier,Tank Must,WSTA0052,2021,Excellent,Classic Tank with black dial and leather strap,3200,2800,USD,"Dress;Unisex",33.7mm,Stainless Steel,Black,Quartz,Leather,Box Only,CAR002_1.jpg,CAR002_2.jpg,,,
TUD001,Tudor,Black Bay Fifty-Eight,79030N,2021,Excellent,Navy blue dial and bezel. In-house movement,3800,3400,USD,"Sport;Diving;Men's",39mm,Stainless Steel,Blue,Automatic,Stainless Steel,Both,TUD001_1.jpg,TUD001_2.jpg,TUD001_3.jpg,,
TUD002,Tudor,Black Bay GMT,79830RB,2020,Very Good,Pepsi bezel GMT function. Complete set,3600,3200,USD,"Sport;Men's",41mm,Stainless Steel,Black,Automatic,Stainless Steel,Both,TUD002_1.jpg,TUD002_2.jpg,,,
IWC001,IWC,Portugieser Chronograph,IW371617,2022,Excellent,Blue dial with gold hands. Classic design,8500,7800,USD,"Dress;Men's",41mm,Stainless Steel,Blue,Automatic,Leather,Both,IWC001_1.jpg,IWC001_2.jpg,IWC001_3.jpg,IWC001_4.jpg,
IWC002,IWC,Pilot's Watch Mark XVIII,IW327017,2019,Good,Black dial with date. Heritage design,4200,3800,USD,"Sport;Men's",40mm,Stainless Steel,Black,Automatic,Leather,Papers Only,IWC002_1.jpg,IWC002_2.jpg,,,
JLC001,Jaeger-LeCoultre,Reverso Classic,Q3858520,2021,Excellent,Large duoface with second timezone,12500,11000,USD,"Dress;Men's",47mm,Stainless Steel,Silver,Manual,Leather,Both,JLC001_1.jpg,JLC001_2.jpg,JLC001_3.jpg,,
PAN001,Panerai,Luminor Marina,PAM01312,2020,Very Good,44mm classic Luminor with sandwich dial,5500,4900,USD,"Sport;Men's",44mm,Stainless Steel,Black,Automatic,Leather,Both,PAN001_1.jpg,PAN001_2.jpg,PAN001_3.jpg,,
BR001,Breitling,Navitimer B01,AB0127211B1P1,2021,Excellent,Blue dial chronograph. Aviation icon,7800,7000,USD,"Sport;Men's",43mm,Stainless Steel,Blue,Automatic,Stainless Steel,Both,BR001_1.jpg,BR001_2.jpg,BR001_3.jpg,BR001_4.jpg,
VC001,Vacheron Constantin,Overseas,4500V/110A-B128,2019,Very Good,Blue dial sports luxury watch. Quick release system,28000,25000,USD,"Sport;Dress;Men's",41mm,Stainless Steel,Blue,Automatic,Stainless Steel,Both,VC001_1.jpg,VC001_2.jpg,VC001_3.jpg,,
TAG001,TAG Heuer,Monaco,CAW2111.FC6183,2020,Good,Steve McQueen's iconic square chronograph,5800,5200,USD,"Sport;Men's",39mm,Stainless Steel,Blue,Automatic,Leather,Box Only,TAG001_1.jpg,TAG001_2.jpg,,,